date,open,high,low,close,volume,symbol
2026-05-04 09:15:00,24320.0,24450.0,24305.9,24418.0,63050,NIFTY26JUNFUT
2026-05-04 09:30:00,24418.0,24477.7,24373.3,24466.3,33345,NIFTY26JUNFUT
2026-05-04 09:45:00,24466.3,24475.1,24413.5,24434.1,20800,NIFTY26JUNFUT
2026-05-04 10:00:00,24434.1,24450.9,24362.5,24362.5,13780,NIFTY26JUNFUT
2026-05-04 10:15:00,24362.5,24393.0,24336.0,24392.9,17745,NIFTY26JUNFUT
2026-05-04 10:30:00,24392.9,24417.7,24360.5,24411.4,24505,NIFTY26JUNFUT
2026-05-04 10:45:00,24411.4,24439.9,24377.5,24380.4,14690,NIFTY26JUNFUT
2026-05-04 11:00:00,24380.4,24415.2,24370.0,24415.2,6175,NIFTY26JUNFUT
2026-05-04 11:15:00,24415.2,24443.2,24415.2,24429.0,11245,NIFTY26JUNFUT
2026-05-04 11:30:00,24429.0,24431.7,24413.7,24423.6,9035,NIFTY26JUNFUT
2026-05-04 11:45:00,24423.6,24438.9,24411.0,24411.0,3640,NIFTY26JUNFUT
2026-05-04 12:00:00,24414.8,24421.9,24311.0,24311.0,19890,NIFTY26JUNFUT
2026-05-04 12:15:00,24311.0,24357.0,24305.0,24324.5,17225,NIFTY26JUNFUT
2026-05-04 12:30:00,24324.5,24329.8,24300.0,24300.1,21710,NIFTY26JUNFUT
2026-05-04 12:45:00,24300.1,24316.3,24275.0,24295.6,16510,NIFTY26JUNFUT
2026-05-04 13:00:00,24295.6,24314.7,24280.2,24300.1,7475,NIFTY26JUNFUT
2026-05-04 13:15:00,24300.1,24300.1,24220.0,24220.0,16250,NIFTY26JUNFUT
2026-05-04 13:30:00,24220.0,24279.9,24185.0,24279.0,21320,NIFTY26JUNFUT
2026-05-04 13:45:00,24279.0,24300.0,24240.2,24271.6,8060,NIFTY26JUNFUT
2026-05-04 14:00:00,24271.6,24300.0,24244.9,24295.5,6110,NIFTY26JUNFUT
2026-05-04 14:15:00,24295.5,24335.0,24288.9,24308.0,10010,NIFTY26JUNFUT
2026-05-04 14:30:00,24308.0,24323.9,24265.0,24293.3,5460,NIFTY26JUNFUT
2026-05-04 14:45:00,24293.3,24315.9,24259.0,24284.6,7930,NIFTY26JUNFUT
2026-05-04 15:00:00,24284.6,24326.9,24265.0,24312.9,12155,NIFTY26JUNFUT
2026-05-04 15:15:00,24312.9,24328.0,24300.0,24300.0,24115,NIFTY26JUNFUT
2026-05-05 09:15:00,24300.0,24300.0,24112.1,24152.7,44070,NIFTY26JUNFUT
2026-05-05 09:30:00,24152.7,24215.0,24152.7,24180.0,14820,NIFTY26JUNFUT
2026-05-05 09:45:00,24180.0,24215.0,24167.0,24190.2,7800,NIFTY26JUNFUT
2026-05-05 10:00:00,24190.2,24215.0,24146.0,24150.0,15340,NIFTY26JUNFUT
2026-05-05 10:15:00,24150.0,24159.0,24116.5,24119.6,17810,NIFTY26JUNFUT
2026-05-05 10:30:00,24119.6,24129.9,24098.2,24105.0,17940,NIFTY26JUNFUT
2026-05-05 10:45:00,24105.0,24116.7,24082.0,24086.4,15145,NIFTY26JUNFUT
2026-05-05 11:00:00,24088.0,24111.9,24087.0,24104.9,7865,NIFTY26JUNFUT
2026-05-05 11:15:00,24104.9,24125.2,24090.0,24096.8,15860,NIFTY26JUNFUT
2026-05-05 11:30:00,24096.8,24124.9,24087.0,24087.0,7800,NIFTY26JUNFUT
2026-05-05 11:45:00,24087.0,24087.0,24050.0,24052.0,21840,NIFTY26JUNFUT
2026-05-05 12:00:00,24052.0,24119.0,24052.0,24112.6,19825,NIFTY26JUNFUT
2026-05-05 12:15:00,24112.6,24148.0,24105.3,24111.2,16900,NIFTY26JUNFUT
2026-05-05 12:30:00,24111.2,24135.5,24102.3,24125.0,7410,NIFTY26JUNFUT
2026-05-05 12:45:00,24125.0,24170.0,24123.1,24170.0,8385,NIFTY26JUNFUT
2026-05-05 13:00:00,24170.0,24240.9,24170.0,24225.5,41080,NIFTY26JUNFUT
2026-05-05 13:15:00,24225.5,24244.8,24186.3,24200.1,18460,NIFTY26JUNFUT
2026-05-05 13:30:00,24200.1,24215.1,24181.9,24214.9,16705,NIFTY26JUNFUT
2026-05-05 13:45:00,24214.9,24218.0,24183.9,24210.0,11440,NIFTY26JUNFUT
2026-05-05 14:00:00,24210.0,24210.0,24170.1,24196.7,5005,NIFTY26JUNFUT
2026-05-05 14:15:00,24196.7,24220.0,24180.5,24220.0,5915,NIFTY26JUNFUT
2026-05-05 14:30:00,24220.0,24222.6,24183.8,24200.0,7410,NIFTY26JUNFUT
2026-05-05 14:45:00,24212.0,24213.7,24173.2,24178.0,7085,NIFTY26JUNFUT
2026-05-05 15:00:00,24178.0,24210.0,24170.0,24210.0,10075,NIFTY26JUNFUT
2026-05-05 15:15:00,24210.0,24235.0,24210.0,24230.0,26325,NIFTY26JUNFUT
2026-05-06 09:15:00,24358.9,24425.0,24335.6,24342.5,46670,NIFTY26JUNFUT
2026-05-06 09:30:00,24342.5,24359.8,24304.4,24308.2,19955,NIFTY26JUNFUT
2026-05-06 09:45:00,24308.2,24345.0,24300.0,24322.0,16705,NIFTY26JUNFUT
2026-05-06 10:00:00,24322.0,24322.0,24268.5,24319.9,23660,NIFTY26JUNFUT
2026-05-06 10:15:00,24319.9,24333.0,24300.0,24306.0,14235,NIFTY26JUNFUT
2026-05-06 10:30:00,24306.0,24329.0,24285.3,24329.0,4485,NIFTY26JUNFUT
2026-05-06 10:45:00,24329.0,24329.0,24270.0,24273.6,6630,NIFTY26JUNFUT
2026-05-06 11:00:00,24273.6,24280.4,24250.0,24263.8,10270,NIFTY26JUNFUT
2026-05-06 11:15:00,24263.8,24285.0,24255.3,24284.7,4875,NIFTY26JUNFUT
2026-05-06 11:30:00,24284.7,24294.9,24235.0,24274.2,6695,NIFTY26JUNFUT
2026-05-06 11:45:00,24274.2,24291.8,24270.5,24289.9,4680,NIFTY26JUNFUT
2026-05-06 12:00:00,24289.9,24289.9,24244.0,24247.0,3965,NIFTY26JUNFUT
2026-05-06 12:15:00,24245.0,24247.0,24200.0,24219.8,16770,NIFTY26JUNFUT
2026-05-06 12:30:00,24219.8,24224.9,24182.1,24186.8,9165,NIFTY26JUNFUT
2026-05-06 12:45:00,24181.1,24194.0,24170.0,24193.0,12805,NIFTY26JUNFUT
2026-05-06 13:00:00,24193.0,24214.9,24170.1,24214.0,15470,NIFTY26JUNFUT
2026-05-06 13:15:00,24214.0,24264.9,24198.7,24255.0,17680,NIFTY26JUNFUT
2026-05-06 13:30:00,24255.0,24297.9,24255.0,24287.0,22685,NIFTY26JUNFUT
2026-05-06 13:45:00,24287.0,24304.9,24287.0,24293.7,15860,NIFTY26JUNFUT
2026-05-06 14:00:00,24293.7,24324.8,24280.3,24324.8,24440,NIFTY26JUNFUT
2026-05-06 14:15:00,24324.8,24544.2,24324.8,24520.4,130065,NIFTY26JUNFUT
2026-05-06 14:30:00,24520.4,24550.0,24478.4,24530.0,63440,NIFTY26JUNFUT
2026-05-06 14:45:00,24530.0,24560.0,24524.9,24558.0,33280,NIFTY26JUNFUT
2026-05-06 15:00:00,24558.0,24560.0,24521.9,24533.0,29445,NIFTY26JUNFUT
2026-05-06 15:15:00,24533.0,24566.3,24530.0,24562.9,34970,NIFTY26JUNFUT
2026-05-07 09:15:00,24550.1,24579.2,24450.0,24488.1,45045,NIFTY26JUNFUT
2026-05-07 09:30:00,24488.1,24551.2,24470.0,24548.0,19500,NIFTY26JUNFUT
2026-05-07 09:45:00,24548.0,24550.0,24475.0,24496.1,17940,NIFTY26JUNFUT
2026-05-07 10:00:00,24496.1,24520.0,24460.0,24476.9,13975,NIFTY26JUNFUT
2026-05-07 10:15:00,24476.9,24514.6,24472.7,24513.3,6565,NIFTY26JUNFUT
2026-05-07 10:30:00,24513.3,24518.0,24500.0,24518.0,2145,NIFTY26JUNFUT
2026-05-07 10:45:00,24518.0,24519.0,24480.0,24485.0,6435,NIFTY26JUNFUT
2026-05-07 11:00:00,24485.0,24493.8,24460.0,24460.0,11700,NIFTY26JUNFUT
2026-05-07 11:15:00,24460.0,24481.1,24438.0,24456.2,12610,NIFTY26JUNFUT
2026-05-07 11:30:00,24456.2,24492.0,24434.8,24434.8,12480,NIFTY26JUNFUT
2026-05-07 11:45:00,24434.8,24490.0,24425.0,24476.0,9815,NIFTY26JUNFUT
2026-05-07 12:00:00,24477.4,24515.0,24474.5,24506.6,8970,NIFTY26JUNFUT
2026-05-07 12:15:00,24506.6,24527.0,24500.0,24500.0,11440,NIFTY26JUNFUT
2026-05-07 12:30:00,24500.0,24630.0,24478.0,24607.9,41925,NIFTY26JUNFUT
2026-05-07 12:45:00,24607.9,24623.4,24517.5,24533.9,26130,NIFTY26JUNFUT
2026-05-07 13:00:00,24533.9,24566.6,24530.0,24534.6,8905,NIFTY26JUNFUT
2026-05-07 13:15:00,24534.6,24542.1,24470.0,24502.5,14885,NIFTY26JUNFUT
2026-05-07 13:30:00,24502.5,24506.5,24486.5,24503.8,4940,NIFTY26JUNFUT
2026-05-07 13:45:00,24503.8,24513.8,24483.9,24513.8,3835,NIFTY26JUNFUT
2026-05-07 14:00:00,24513.8,24517.9,24480.0,24516.0,4160,NIFTY26JUNFUT
2026-05-07 14:15:00,24516.0,24521.8,24480.0,24521.8,3185,NIFTY26JUNFUT
2026-05-07 14:30:00,24521.8,24521.8,24483.0,24483.0,4290,NIFTY26JUNFUT
2026-05-07 14:45:00,24483.0,24505.9,24472.0,24500.0,7670,NIFTY26JUNFUT
2026-05-07 15:00:00,24500.0,24506.0,24451.0,24478.8,29120,NIFTY26JUNFUT
2026-05-07 15:15:00,24478.8,24511.9,24478.7,24501.6,27170,NIFTY26JUNFUT
2026-05-08 09:15:00,24411.1,24411.1,24315.0,24389.0,49790,NIFTY26JUNFUT
2026-05-08 09:30:00,24389.0,24390.0,24320.1,24320.1,22425,NIFTY26JUNFUT
2026-05-08 09:45:00,24320.1,24350.0,24297.3,24341.6,26325,NIFTY26JUNFUT
2026-05-08 10:00:00,24341.6,24363.6,24320.0,24363.5,9490,NIFTY26JUNFUT
2026-05-08 10:15:00,24363.5,24390.0,24331.8,24382.0,17875,NIFTY26JUNFUT
2026-05-08 10:30:00,24382.0,24389.0,24370.0,24380.0,5785,NIFTY26JUNFUT
2026-05-08 10:45:00,24380.0,24390.0,24350.0,24351.0,3705,NIFTY26JUNFUT
2026-05-08 11:00:00,24351.0,24387.0,24350.0,24383.1,3770,NIFTY26JUNFUT
2026-05-08 11:15:00,24383.1,24388.3,24338.1,24340.0,3640,NIFTY26JUNFUT
2026-05-08 11:30:00,24340.0,24362.8,24330.0,24352.5,5720,NIFTY26JUNFUT
2026-05-08 11:45:00,24352.5,24355.2,24340.4,24355.2,3250,NIFTY26JUNFUT
2026-05-08 12:00:00,24355.2,24356.7,24326.9,24330.0,4225,NIFTY26JUNFUT
2026-05-08 12:15:00,24330.0,24344.3,24325.0,24344.3,5005,NIFTY26JUNFUT
2026-05-08 12:30:00,24344.3,24344.3,24310.0,24310.0,5980,NIFTY26JUNFUT
2026-05-08 12:45:00,24310.0,24319.2,24300.0,24310.0,7150,NIFTY26JUNFUT
2026-05-08 13:00:00,24310.0,24321.5,24300.2,24319.5,6045,NIFTY26JUNFUT
2026-05-08 13:15:00,24319.5,24347.9,24303.0,24347.9,6890,NIFTY26JUNFUT
2026-05-08 13:30:00,24348.0,24354.2,24315.2,24321.0,7150,NIFTY26JUNFUT
2026-05-08 13:45:00,24321.0,24328.8,24280.0,24287.6,12805,NIFTY26JUNFUT
2026-05-08 14:00:00,24287.6,24323.9,24273.0,24296.0,10725,NIFTY26JUNFUT
2026-05-08 14:15:00,24296.0,24315.3,24284.9,24305.1,6825,NIFTY26JUNFUT
2026-05-08 14:30:00,24305.1,24385.0,24305.1,24374.6,22685,NIFTY26JUNFUT
2026-05-08 14:45:00,24374.6,24390.0,24357.3,24365.0,9750,NIFTY26JUNFUT
2026-05-08 15:00:00,24365.0,24365.0,24328.0,24343.9,18850,NIFTY26JUNFUT
2026-05-08 15:15:00,24343.9,24363.8,24328.4,24343.0,19760,NIFTY26JUNFUT
2026-05-11 09:15:00,24200.0,24200.0,24045.0,24090.0,118105,NIFTY26JUNFUT
2026-05-11 09:30:00,24090.0,24098.0,24010.0,24014.7,41470,NIFTY26JUNFUT
2026-05-11 09:45:00,24014.7,24035.5,24010.0,24020.6,30160,NIFTY26JUNFUT
2026-05-11 10:00:00,24020.6,24040.6,24015.0,24033.0,14300,NIFTY26JUNFUT
2026-05-11 10:15:00,24033.0,24033.0,23986.9,24012.1,42575,NIFTY26JUNFUT
2026-05-11 10:30:00,24012.1,24019.8,23995.9,23999.9,35750,NIFTY26JUNFUT
2026-05-11 10:45:00,23999.9,24038.0,23986.3,24031.8,25025,NIFTY26JUNFUT
2026-05-11 11:00:00,24031.8,24063.8,24025.0,24050.3,14365,NIFTY26JUNFUT
2026-05-11 11:15:00,24050.3,24080.0,24050.3,24069.0,28340,NIFTY26JUNFUT
2026-05-11 11:30:00,24069.0,24087.9,24051.3,24083.0,8060,NIFTY26JUNFUT
2026-05-11 11:45:00,24083.0,24088.9,24052.0,24065.0,7215,NIFTY26JUNFUT
2026-05-11 12:00:00,24065.0,24080.0,24056.2,24072.0,3380,NIFTY26JUNFUT
2026-05-11 12:15:00,24072.0,24080.0,24062.3,24070.9,4160,NIFTY26JUNFUT
2026-05-11 12:30:00,24070.9,24095.0,24034.3,24095.0,9165,NIFTY26JUNFUT
2026-05-11 12:45:00,24095.0,24095.0,24072.1,24083.0,2925,NIFTY26JUNFUT
2026-05-11 13:00:00,24083.0,24088.0,24040.0,24088.0,4615,NIFTY26JUNFUT
2026-05-11 13:15:00,24088.0,24090.0,24074.0,24074.9,3575,NIFTY26JUNFUT
2026-05-11 13:30:00,24074.9,24123.0,24074.9,24102.0,15210,NIFTY26JUNFUT
2026-05-11 13:45:00,24102.0,24140.0,24096.1,24108.4,12740,NIFTY26JUNFUT
2026-05-11 14:00:00,24108.4,24112.3,24080.0,24080.0,3510,NIFTY26JUNFUT
2026-05-11 14:15:00,24080.0,24094.6,24053.4,24071.0,5915,NIFTY26JUNFUT
2026-05-11 14:30:00,24071.0,24089.8,24040.0,24049.6,17680,NIFTY26JUNFUT
2026-05-11 14:45:00,24049.6,24055.0,24015.0,24015.0,19695,NIFTY26JUNFUT
2026-05-11 15:00:00,24015.0,24015.5,23961.9,23965.5,64740,NIFTY26JUNFUT
2026-05-11 15:15:00,23965.5,23980.6,23959.0,23959.0,46605,NIFTY26JUNFUT
2026-05-12 09:15:00,23925.4,23925.6,23775.0,23777.6,83590,NIFTY26JUNFUT
2026-05-12 09:30:00,23777.6,23795.0,23765.0,23789.9,46865,NIFTY26JUNFUT
2026-05-12 09:45:00,23789.9,23789.9,23771.0,23771.0,23725,NIFTY26JUNFUT
2026-05-12 10:00:00,23771.0,23786.0,23747.3,23786.0,31070,NIFTY26JUNFUT
2026-05-12 10:15:00,23786.0,23813.4,23750.0,23750.9,18330,NIFTY26JUNFUT
2026-05-12 10:30:00,23750.9,23774.2,23740.0,23763.0,19240,NIFTY26JUNFUT
2026-05-12 10:45:00,23763.0,23769.7,23738.0,23759.3,10140,NIFTY26JUNFUT
2026-05-12 11:00:00,23759.3,23759.3,23725.0,23726.8,19110,NIFTY26JUNFUT
2026-05-12 11:15:00,23726.8,23756.0,23725.0,23731.0,10075,NIFTY26JUNFUT
2026-05-12 11:30:00,23731.0,23745.0,23721.0,23740.0,12805,NIFTY26JUNFUT
2026-05-12 11:45:00,23740.0,23758.4,23725.0,23730.0,20735,NIFTY26JUNFUT
2026-05-12 12:00:00,23730.0,23746.9,23690.0,23694.5,54145,NIFTY26JUNFUT
2026-05-12 12:15:00,23694.5,23722.1,23693.4,23695.0,11960,NIFTY26JUNFUT
2026-05-12 12:30:00,23695.0,23698.7,23650.0,23669.0,36660,NIFTY26JUNFUT
2026-05-12 12:45:00,23669.0,23678.0,23653.6,23660.6,26780,NIFTY26JUNFUT
2026-05-12 13:00:00,23660.6,23678.0,23652.3,23674.7,20150,NIFTY26JUNFUT
2026-05-12 13:15:00,23674.7,23700.0,23669.0,23679.4,20865,NIFTY26JUNFUT
2026-05-12 13:30:00,23679.4,23697.6,23641.8,23646.1,24505,NIFTY26JUNFUT
2026-05-12 13:45:00,23646.1,23667.0,23635.0,23636.0,21450,NIFTY26JUNFUT
2026-05-12 14:00:00,23635.0,23639.8,23588.8,23595.3,58370,NIFTY26JUNFUT
2026-05-12 14:15:00,23595.3,23630.0,23589.0,23601.7,38415,NIFTY26JUNFUT
2026-05-12 14:30:00,23601.7,23610.7,23570.0,23600.0,24050,NIFTY26JUNFUT
2026-05-12 14:45:00,23600.0,23612.4,23545.0,23554.3,47710,NIFTY26JUNFUT
2026-05-12 15:00:00,23552.4,23554.2,23500.0,23503.9,83525,NIFTY26JUNFUT
2026-05-12 15:15:00,23505.5,23581.0,23505.2,23570.0,87035,NIFTY26JUNFUT
2026-05-13 09:15:00,23528.0,23629.0,23515.0,23515.0,70070,NIFTY26JUNFUT
2026-05-13 09:30:00,23515.0,23535.0,23406.8,23461.0,62140,NIFTY26JUNFUT
2026-05-13 09:45:00,23461.0,23530.0,23429.2,23515.0,46150,NIFTY26JUNFUT
2026-05-13 10:00:00,23520.4,23574.0,23494.9,23541.1,44395,NIFTY26JUNFUT
2026-05-13 10:15:00,23541.1,23617.0,23541.1,23600.0,45760,NIFTY26JUNFUT
2026-05-13 10:30:00,23600.0,23624.8,23569.1,23609.0,16965,NIFTY26JUNFUT
2026-05-13 10:45:00,23609.0,23615.0,23515.0,23515.0,22815,NIFTY26JUNFUT
2026-05-13 11:00:00,23520.2,23552.2,23511.0,23535.0,12870,NIFTY26JUNFUT
2026-05-13 11:15:00,23535.0,23568.2,23535.0,23545.0,27625,NIFTY26JUNFUT
2026-05-13 11:30:00,23545.0,23640.0,23540.3,23636.0,33150,NIFTY26JUNFUT
2026-05-13 11:45:00,23636.0,23650.0,23597.5,23611.2,38220,NIFTY26JUNFUT
2026-05-13 12:00:00,23611.2,23650.0,23603.5,23650.0,33930,NIFTY26JUNFUT
2026-05-13 12:15:00,23650.0,23650.0,23611.0,23644.3,22555,NIFTY26JUNFUT
2026-05-13 12:30:00,23644.3,23644.3,23560.0,23598.9,36205,NIFTY26JUNFUT
2026-05-13 12:45:00,23598.9,23726.4,23592.0,23716.3,59995,NIFTY26JUNFUT
2026-05-13 13:00:00,23719.0,23720.0,23658.0,23675.4,14820,NIFTY26JUNFUT
2026-05-13 13:15:00,23675.4,23675.4,23625.9,23626.8,10335,NIFTY26JUNFUT
2026-05-13 13:30:00,23626.8,23675.4,23625.9,23650.1,7345,NIFTY26JUNFUT
2026-05-13 13:45:00,23650.1,23665.4,23605.0,23632.7,7410,NIFTY26JUNFUT
2026-05-13 14:00:00,23632.7,23658.0,23612.9,23658.0,5460,NIFTY26JUNFUT
2026-05-13 14:15:00,23658.0,23660.3,23591.0,23611.3,10465,NIFTY26JUNFUT
2026-05-13 14:30:00,23611.3,23630.0,23600.0,23601.0,8385,NIFTY26JUNFUT
2026-05-13 14:45:00,23601.0,23612.0,23581.0,23605.0,8580,NIFTY26JUNFUT
2026-05-13 15:00:00,23605.0,23605.0,23540.2,23575.0,126620,NIFTY26JUNFUT
2026-05-13 15:15:00,23575.0,23588.7,23542.9,23580.0,166530,NIFTY26JUNFUT
2026-05-14 09:15:00,23625.0,23704.9,23625.0,23703.9,50310,NIFTY26JUNFUT
2026-05-14 09:30:00,23703.9,23703.9,23618.0,23618.0,19435,NIFTY26JUNFUT
2026-05-14 09:45:00,23618.0,23649.9,23560.0,23570.2,30095,NIFTY26JUNFUT
2026-05-14 10:00:00,23570.2,23610.0,23569.3,23609.0,18850,NIFTY26JUNFUT
2026-05-14 10:15:00,23609.0,23632.0,23585.1,23625.0,11050,NIFTY26JUNFUT
2026-05-14 10:30:00,23625.0,23648.9,23600.8,23609.3,9100,NIFTY26JUNFUT
2026-05-14 10:45:00,23609.3,23609.3,23535.0,23547.1,25025,NIFTY26JUNFUT
2026-05-14 11:00:00,23547.1,23565.0,23535.0,23560.9,10985,NIFTY26JUNFUT
2026-05-14 11:15:00,23560.9,23696.0,23560.9,23688.3,32500,NIFTY26JUNFUT
2026-05-14 11:30:00,23688.3,23785.1,23685.6,23776.2,67795,NIFTY26JUNFUT
2026-05-14 11:45:00,23780.0,23815.8,23757.4,23785.4,45110,NIFTY26JUNFUT
2026-05-14 12:00:00,23785.4,23794.1,23742.0,23775.0,35880,NIFTY26JUNFUT
2026-05-14 12:15:00,23775.0,23819.8,23775.0,23808.0,24895,NIFTY26JUNFUT
